DELL Vostro 5502 Laptop i7-1165G7 16GB No HDD No OS MX330 | For Parts or Repair,,,$199.95,US,,For parts or not working,https://www.ebay.com/itm/175783385707?hash=item28ed819a6b%3Ag%3AqPsAAOSw6u5kk2nL&amdata=enc%3AAQAIAAAAwKttbr89%2BfTKjxzYStSIV5VdNBON5jcPWQRO7B7NAXHn%2F3k%2FihJSxs2MjiipGcgtZi147mXG1yJCchbmVW3fEt5VrkNUz4CCvZHf%2BOftI6UXPB1%2BqvWcIAZxNsaqjHYYf858gVh7nCUqZlaY%2BECDagiVbyHSedIWg1S64JJoHS8mY6m3gX7Kl7DT6EcSmTeIx6iEUqqdShOp%2FC295c4YehpvAQGa%2FxfPh%2B2HzTrlI2R80Ujote4hTafgP%2FRj5yX1wA%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Dell G3 15 3590 15"" i5-9300H 2.40GHz 8GB RAM",,,$299.95,US,,Used,https://www.ebay.com/itm/325703423442?epid=6034369207&hash=item4bd56fd5d2%3Ag%3Auk8AAOSwgVtkky10&amdata=enc%3AAQAIAAAAwA%2BUQ4uAxix3Jwtbb4hJj5FibyVNo3qLQD96BO6nfSqsNOgzMWSF7HGbp3aJ4jjwUe9DwflouxDi6Ac0qx2wq%2BCtPGJeL9k1s1XtXy9FJTi%2BdQGMQt933moy09D42ck3vdFEOPK77f0nl9tklO5otuyNdfYqIRYb2jdrTZFiFPPUJb8K2%2BuyebjAjZc00WKV%2FOBvaxbEXMnTnAvyogAa5hmnGaSf0U9sqtqztv7avtal6ACPCspnpTcZxrrRs5Nyaw%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
Acer Predator Helios 300 15.6'' Intel Core i7-10750H 16GB RAM 2 TB SSD RTX 2060,$900.00,US,$600.00,US,,Used,https://www.ebay.com/itm/134623679992?hash=item1f583255f8%3Ag%3Af1QAAOSwN-hkk2lM&amdata=enc%3AAQAIAAAAwMkrTblBRhHlbRYSjidnslPLc3vxHppOP8f1K8XVahsz7k092PpJpEasM11J2N9fjUUkH2SdL%2BlQxtiaYvTSBXrkUOev8rfEDEOLjYDnj6eEUiGz%2BLwua0W9X%2FsjpzoZnOTZyRu2q%2FZLtPVelmwPLERP%2BDRRF%2BYibb5mVp6g5ucCGzxKZejO%2BzjOdn7RZKxILp8ObCcvYF4RxiQHUyi1XDdQsF%2Fuwm78WvOkqAoM%2FDizEtUp6qK68hZ37gh7Y0phKg%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"lot of 11 Dell Inspiron 11 3147 Pentium N3540 2.16 GHz 4GB RAM 11.6"" 2in1 Laptop",,,$0.99,US,,For parts or not working,https://www.ebay.com/itm/394691463643?hash=item5be571c9db%3Ag%3A53EAAOSwY2VkkdFq&amdata=enc%3AAQAIAAAA4FQJiN8gscjBRn4PR42%2BXeQkrFYD4lUXPayvbY5ZDp2IbRivhaxj%2BpjA%2FUqrEcA%2B1u9U2HUtcxHiFE3YZDVYU%2B77Rx9AybY%2BQhUa8%2BGdie2lc6VeU%2FHOoYOPNfYd7RAQxbxJ%2BmvnWsukgsIrh0t7uVEZXa%2FqBpPlQaOWwsAK2hffVX39RUytWv7wSRAE8he%2BR%2FwrJy5eM7eHgfsnPFCPmRTraYA67jMEGz4tKLlh8ZHVUOOYMfWP9njtiMjCNTY2%2FZtPZ3mkhoVZ331fxQOa5wP1avVOK4p3J1H2tPZenMRY%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
Lenovo ThinkPad X220 i5-2520M 2.5GHz 8GB RAM No HDD/SSD,,,$150.00,US,,Used,https://www.ebay.com/itm/225631540114?hash=item3488b01392%3Ag%3AKScAAOSwMj5kk0s3&amdata=enc%3AAQAIAAAAwGeH8xRYIJ1vXl4EXHmZOVIm1vxmcVsT4Um%2FF%2BHwFCdr0iLXlCurl7MqFVrzzc2cn7uTAACUAPadFoYuHAqPqZT8DPPI1zuzPYYhz4%2B2HklHPYrzqvJ2XIhbi2r8gCpG06lvek%2FatZAEjhT%2BcR2UN6jqHOe%2BghfgsTK9pXn9PCd3NjAqTSCvvuS8uqPZaAGm%2B9I%2FSNgLxLBO%2FUbIYgqktGeyhvEfWbsmjgu6zfYInnYaxcrt5bRwDKv%2Fkh6bIhtkrQ%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"*Used* HP 1012G1 X2 Tablet 12"" 1080P Intel M7 1.2GHZ 8GB Ram 128G SSD Win10Pro",,,$0.01,C,,Used,https://www.ebay.com/itm/404345066034?hash=item5e24d81232%3Ag%3Ac1kAAOSwjcdkiMWw&amdata=enc%3AAQAIAAAA4KpFzCUzI8nwqsoV%2BdLxjpRH1WhY98f8vq5GjPDkKvWsVgiRDCQ9FDUQguH7GJ6ZorUzKOjpb3J9VANWFQcCgBQ%2FVGnJC%2B6GdNUcEbzUlYwCdkN7I1OEhc%2BmgikO%2FXhBUB0KOta6pD9NAgboHWIyASITdlZwcMjvkxTdyhVs3%2F4HqNp45DIiNdrUXrJVWai5u4dfzfEXmyLzGFkfsos1UpfYRsko8B7Ck5JpN9%2B9brbQzIry7ehJvP6kHbG60ZIwlBi8KI7l5eu1JuFlFzAtvOr8uZl7nTKFNOKyz3VextjZ%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
LENOVO THINKPAD E560 CORE i7-6500U @ 2.5GHz 2GB RAM 500GB HDD Windows 10 #203,,,$40.00,US,,Used,https://www.ebay.com/itm/266307659755?hash=item3e012c67eb%3Ag%3A5vsAAOSwjNZkk2QO&amdata=enc%3AAQAIAAAAwC%2Fyk04nMNpc91Mt04o2Z%2BxDygcClBU1KEkuynVOaSooojwQyRIqXG2q%2B0WiM02HxODJlaL8PFodJzV6OBdOaG%2B2ie6vhLD7%2BA7K9O2xnpZaO%2BaPGJer2ewEq1aujORvMdTx7ParJsKTz53%2Fui2Q2BU60%2BjL5umpTuW1MnPEsKHtRzTAGJ955d4g4qguzhQ4wapSdPJ%2BqqE%2BEBL5lrXiNo%2BgdTuvPoDdOBwSH3Kttn3CMsOZ2BmITKDDW%2Fbuu04%2BqQ%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
Panasonic Toughbook CF-C2 TouchScreen i5-4300U CPU 8 GB RAM 500 GB SSD HDD Win11,$175.00,US,$75.00,US,,Used,https://www.ebay.com/itm/125985764431?hash=item1d5556344f%3Ag%3A0SgAAOSwZo5kk2DI&amdata=enc%3AAQAIAAAAwMCF9HA1I5VF4AqiPh0vL5IQVh%2BWG5U9FRC0LgdwYAr3wTlLNySP5A36Fy7rf4yD37vg7nBMnUKrOIxlL221xmjDzfXgRjWVMZH1v4qSdqbxdIlPU7kbv1zdDvFpzUvf9zPflwKXf%2BO3DElXBBsBu21zhCu8XGkP6ZPzbQAFORPeNUykzrUM4DMkPlOuqbf47XVKYqmkAdz5cez4qYSwu17rV5w03eYEh8HShRx3FQY8xZj8H9zhgC%2BWGU6ToiZzeQ%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
"Dell Latitude 5490 (i5-8250U 8 GB of RAM, SSD; 1920x1080 Res.) 4Cores",,,$59.00,US,,Used,https://www.ebay.com/itm/266307652631?hash=item3e012c4c17%3Ag%3Ahp4AAOSwW65kk1%7Ec&amdata=enc%3AAQAIAAAAwC6cKkh3k8pnVLHfmqz%2BdxnOwjD%2FIKo0whjsB26vUpxcaNZar%2BSy4atVilTMmR25hS7E4sHlh1nQqlOpEY%2B6sDb3q%2FrQtIzHVl1Re%2B04gLxvUZyNvr2%2FlCBDx29rZnOduGtp2upu2dUB1JTe8TsKUvHEJ454HwfQej6t19zlCMRNSGAuF4FWfVgver8xpPGBajifflmTA6Y1s1AeqtgKiPDzzL9F1Ysh7ZS%2F1oDTex7DKAjjd2wz8VEsIpfqv9Mv1Q%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
"Dell 14"" Latitude 7400 Laptop i7-8665U 1.90GHz 16GB 256GB SSD - Windows 10 Pro",,,$150.00,US,,Used,https://www.ebay.com/itm/134623644189?epid=24056681869&hash=item1f5831ca1d%3Ag%3AL6cAAOSw-0pkk2C0&amdata=enc%3AAQAIAAAA4DQP%2BdvYx979wmturxmF4Dwb3A9rhOuzRHybmqTTobOuwJ8lpsx4BA8ds6juqTL1XvFSn8tt%2FAk%2FIP8UojuoNr%2Britrt4AH%2B2sirXskmp9vwO1zO8%2BIIEWd4QLV%2FGrOKpj8n%2FJo4BR0JXRiFVou4X4%2BK9gBZr1%2F8w%2BF%2BsQ0i4OmjbKQLKnFHVdwWQUd%2B4bxrBLAlDPaFvsanBE%2F7NxLWHaL5kb5QIjSNIMO%2F7ZtjRZyUt%2FYb5FyeEOlsywzSVHJpfFebvxAjDLKqvAPxliN3h9RksS1Nu%2FK4WK%2FxNxSkRVlL%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
