"Microsoft Surface Pro 9 i7, 256GB, 16GB, Keyboard, Pen2, Orig. Box & Extras",,,$900.00,US,,Open box,https://www.ebay.com/itm/204369204544?epid=25057045515&hash=item2f955a9540%3Ag%3As04AAOSw0LVkjEBj&amdata=enc%3AAQAIAAAA4EV2G0mI39y6KoMNYQXFCi4GilvDww3ryt6A7%2B3zbj38At0qQ4gHIoutrlNgY7Q2pHkEWaBg2jkT8OpNb1pfOt51A79IrF4WjosJgat%2Bng05XMvW6aFVUWvMDctcHC%2B0E3be24gxUI8yKgM%2FXdgpb7aNndifxZCa%2FnvCPP3q779oyrLiyxgUqNSvT3All3wzHr0lw0FXybKzExGspJRyCUFS5gPIVxGjbetE95TqxgiNwiEnAxv2PVfriOtOUtXGGUKlJprs77G9hNxhGuBUSN%2FKR8YR1%2FwGR8Zn8Cv8tIEg%7Ctkp%3ABk9SR_rUvIGcYg&LH_Auction=1
"Lenovo IdeaPad Y700 15.6"" FHD AMD R 8GB RAM 128GB SSD 1TB HD Win10 Gaming Laptop",,,$130.00,US,,Used,https://www.ebay.com/itm/385687933000?hash=item59cccad048%3Ag%3Axu0AAOSwKYhkjLas&amdata=enc%3AAQAIAAAAwLlU58fW%2FClK2DgnUsHXC1bam23VQVO67cWS%2FO7Aae0Rr3wOdDFhEUXtcpIZV6qMseNLgjCEwMMUOFOcDsFDFZ7EaBjdh9GJxARr6ljEI7svdgU%2FLUH4ujmt%2Bhwp0v4d9auFy%2FNzfCJavAL9iOeaEkhFpHboXTuWKro7e0ybk8Foy2TmR%2BbrpnyTkdraIP9NaMfI6OuY29osYc5Ai%2Fr0DzuOOF2E0dVknwnuo6Kx4azxDr8iH9au4XXic1aHcZ22wg%3D%3D%7Ctkp%3ABk9SR_rUvIGcYg&LH_Auction=1
"Microsoft Surface Laptop Studio (Core i7, RTX 3050 Ti, 16GB RAM, 512GB SSD)",,,$511.00,US,,Used,https://www.ebay.com/itm/364306049926?epid=19049799145&hash=item54d2552b86%3Ag%3AMPQAAOSwHCpkjOjv&amdata=enc%3AAQAIAAAAwKp8gGo7JPgEU2S2kU8hug1HqT%2FYmIesjrs18RpDtCbjwENnlAIzFRT1%2BqUzCAf8Qrlti8Bqb6QLKXnP%2BWg3cQ8aTGoQsT2MYASKb59VibcvJYHI%2FqufM1DAtdYdPs3Xse%2B6gy3CynW%2FCn16D3oSc2Ta2wdZT3cKrsKIZRQyrC46Ft1iGGWZR0VxTf74016HImdIKqGqpm6byJpvccFT48Q66g1E13Dp6Krb%2FbzzpSDQntOtgo0g0CiWIjU8SNkarg%3D%3D%7Ctkp%3ABk9SR_rUvIGcYg&LH_Auction=1
Acer Predator plus extra 64MB RAM-broken motherboard,,,$4.25,US,,For parts or not working,https://www.ebay.com/itm/115834775432?hash=item1af84a6788%3Ag%3AvBgAAOSwqhpkjOcl&amdata=enc%3AAQAIAAAA4DILZHnELGDRAfjUdvN5aaGEXk2F2L5tH8SExWJZ4WXugFvJmIf19HTqib6TAFHoEKGvz6dicbol28BtDPmoRVDuaqoEvCD6tuz42sOmWq7FY6FH2hTQFh%2BMXL5aMnq42DJcE07EIxRAgrHNTX3GuxWCtAPGcA%2Fyr4xXGMzwPJNFdXNWt4L0DDokkgv0%2BJZ50P3uaxFcHYsthMKbQXJD0GyimHq8c5Mqf5HywHDHq4x102GZNI8liP4z0UMbjzYDmVNw9NskuYYPfE6GQrUEKDaNvDu1nAErYUJ9ji2uhd15%7Ctkp%3ABk9SR_rUvIGcYg&LH_Auction=1
HP ENVY x360 15.6'' (512GB SSD Intel Core i7-1255U 16GB RAM) 2-In-1 Touch Laptop,,,$600.00,US,,Used,https://www.ebay.com/itm/204369698577?epid=20055233639&hash=item2f95621f11%3Ag%3Aeo0AAOSwAutkjOfe&amdata=enc%3AAQAIAAAAwKdsgl4zdcgzI8gTf6R0TLjTRF%2FFdnf6c%2FcwhN2YAh0%2Ba4xmqGoREQbcqt%2BCoapreQG3bdGmBrfiYjSDsUbx5qtH0K8T7CZ3UNMVc1ihJvOC8944P0Bdc%2F1Vy%2Bw%2B%2FhhmA3He1hxZgdsEhQNqd4FqPGsAZv5KCXJSV16X1sOsXcKTYzJRgUN7zR3sTZalQXLSW2mfDf1xjGXPedCAtb8Va1xUKA2Hwo08zg35pClsbzlcfNL0UQ7n2lqLH%2BJe%2FJPmag%3D%3D%7Ctkp%3ABk9SR_rUvIGcYg&LH_Auction=1
Dell Latitude 7390 13.3'' (256GB SSD Intel Core i5-8350U 3.6GHz 8GB RAM)...,,,$72.00,US,,Open box,https://www.ebay.com/itm/204369689785?epid=15028371270&hash=item2f9561fcb9%3Ag%3AewUAAOSw5PRkjOTV&amdata=enc%3AAQAIAAAAwAMtykFh02w4tW9BUOrSmb7QKy4rLo%2Bxrrww5C6yPc4Sya%2BBAkq8ob8CWysdf49h778He1dFziRynlEL2zqBD8%2FZVTgULT%2BOD2znKC8ptbhjVg0TK0%2BA6QS8KgZDgnmzA9jYRbPVJP06zagBovzwDTJZvWvKEKfkLsR8HF1AMiKGLsEKyz9PN6RmjJXN6T8hYPeCBbkzk04TODlAObFFTbbOHLT0C3NQjYjKX8NQDLvft7Krbp3WGisHhWlNhZnA%2Bw%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
Dell Latitude 7390 13.3'' (256GB SSD Intel Core i5-8350U 3.6GHz 8GB RAM)...,,,$81.00,US,,Open box,https://www.ebay.com/itm/204369684637?epid=15028371270&hash=item2f9561e89d%3Ag%3ANJ4AAOSwBVVkjOM2&amdata=enc%3AAQAIAAAAwFQaV9MfaR%2FAmrBkEQTtkpDowBgVlbGxzn7fU%2F9AD7oOqeO4bQvlrD4XtY%2B0jYC1WprR5HEzBv7v04o%2Fvwsda5OJawBiZ4KnJtc9w4A%2BmksOp6n513wvoNakhTtPET10TG0xWDlWcJD5kGmlqL2p3r2wY2fQ13EJ3%2BA%2FnrcxT26GAWrLMPQxc%2BCpQ7ZAmUhwF%2FaUQKMG2MJZT0zqLCamYzV7WE177zP7dYVi0Onv2692jO9%2BeB2ou%2F2Hjyk0whcT0w%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Dell Latitude 5401 i7-9850H 2.60GHz 16GB RAM 256GB SSD 14"" FHD",,,$129.50,US,,Used,https://www.ebay.com/itm/134614632456?hash=item1f57a84808%3Ag%3Ax6wAAOSwCmNki8ts&amdata=enc%3AAQAIAAAAwE8%2B3sZjBCcKzm%2B2tgbvwjZCVVus5Up9Cgw2W%2F0QbWuwj8ihqaXipDoBfAAiQ9g8pwcHeVJpiHOXfRjGP4%2FaKTAsKF3Kf0l8kYlVRrU9IlVUmyWGOjZmWg7oLh4EDtAiSmtRbHaiuhLPp80ZWAsyG5GvKb2fCSxBNYFOO%2FcIG4N8T4%2Bpq0sur5PUd0%2FVGiR9ifctOMcQMKkOJRqYLZlTVC6QC4Aq1ew8aFyBOUbFX0Rb5q%2Fsbwtf7bw%2Buy9UbBxSpQ%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
Dell Latitude 13 3379 2-in-1 Touch Laptop  i5 / 16gb RAM 512gb With power Supply,,,$155.99,US,,Used,https://www.ebay.com/itm/334914711022?hash=item4dfa78edee%3Ag%3AgEQAAOSwBDJikXle&amdata=enc%3AAQAIAAAAwOv869zR1A5u52bOB2dlxGFwVVexNE26b6EVODL%2BSH9c%2FVTM9vpvAz543Mjzxj1142Bt0ZioBc4BzLIqHdrp6t%2FSob387oGpeeA9zrKG2U63E6NB4k9KxwegKYfa7RIZjl2bqho18pK6SNd0sdw0QvhjFkcSve8LQuQu%2F4W4cOT7fX%2FfgJuuB3FKSdY63RCcs1fx339bTZPmaAC2LRohDWXae7j1fSVC0HDxQODeo4taF3l2lbbZPbtJw5RbYTuyZg%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Used Samsung Chromebook Series 3 11.6"" 16GB Storage",,,$61.00,C,,Used,https://www.ebay.com/itm/354854388725?hash=item529ef843f5%3Ag%3AjUcAAOSwHVdkjNRQ&amdata=enc%3AAQAIAAAA4Aa0qhu2wLbFUp03Z5c8fiK6g7JayjsRcpC%2BSB83tAUIKzBWRMdPjDKAbLu1JoJhmRKBzWqzvO1FUspTbwnyT4ljtsmQXCtl4oK3Cve8Q7LyD7rHDhvRlhfoSrHZ%2BI%2F6LDmetElPPWS%2FAvLa%2FpWYmJG562dlOdmtCZVkS0jtriBlGzVpfW%2BBH3y7E3tXiuihHwukEwr%2BRSnlhD%2FJopfq93bLF6aQTA%2Ff7CrCf1tfs6Lpel2DKQfDRpFZN2nhZu9Wl6NNPxnRuR%2FBfk582qZQfQPIzIJuZ7QBHOiF7NKsdPUw%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Panasonic CF-33 12"" Core i5-6300U 2.40GHz 8GB 256GB SSD Win10 Toughbook (Y1919)",,,$199.95,US,,Used,https://www.ebay.com/itm/374759991676?epid=28053375365&hash=item57416fa97c%3Ag%3ARaIAAOSwdLVkjNdr&amdata=enc%3AAQAIAAAAwHrnR3thk0yGbCDkNm3DmjoKEKSfXRBoAz960dCAomnjbpDQmni59PJYjs1ny%2FizZ5%2BoV7ZabznmOwsqKjKri6wDajG3QuUdtNsg29qqGC%2BKdPF0L3yHdhNEiO9XycHiv%2F4Z8noxETCVI52F7xdkfbhLGdLqSjAuEH1vIHRwAuln3kxJc2zVsCko6Qd374E4JQVP9GyOPi%2FmxaQYLZesf3DDkmqnP4r9o2vchjGFa2FRuq4hmaI%2FMPm2376fUNCqAA%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Panasonic CF-33 12"" Core i5-6300U 2.40GHz 8GB 256GB SSD Win10 Toughbook (Y1920)",,,$199.95,US,,Used,https://www.ebay.com/itm/394684115036?epid=28053375365&hash=item5be501a85c%3Ag%3AZlkAAOSwR5FkjNdn&amdata=enc%3AAQAIAAAA4AUtpCmT7mJB%2BGhGFBLOlQVwmTfz%2F7tynPAt2V3B20KegaJFiqfJk99iQbEas0vzIpM2vjeYNw0rQ1ibhhqlNewoSZq5ah3lO8QwnWEQf6rzfP0M1hbsbbr3KRmCTXFCKhRDtj%2FPvXs3pcaMjLMAS3gXabVSERsw7PTIXdhLhV416pZJm8hsY3QbRBndnBSJ4khX%2FNexHc3mLL4BSLew6SbrPyAYYiFNdaMr9vezbCWdjPJLG7VceEXnapMPIn0%2BlE45Sio88HkMfOkJUk7GFhnLSw514VINn6pzL0%2Fm2qPP%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"THE APEX BRONZE, GAMING PC! OFFERS AVAILABLE, OF COURSE!",,,$550.00,US,,Used,https://www.ebay.com/itm/204369647964?hash=item2f9561595c%3Ag%3AAv0AAOSwYolkjNBg&amdata=enc%3AAQAIAAAAwNqYluk1yhOqYZBbh8VUnQMIpM4xkb6iHZruy%2F8jclgA6jE0PF9NmyK6AHBO7oo%2BoR4IiQTBhqJ1qRiJT%2BhX%2BeKcuXreP5aKh1qKOwhKdIJrXrQ9lTF4OfC%2BYy1bcUwJWSfH1Koj38d53pGZNMGAvZjm49M%2FjLMCY9UH63aK3X9ic2v882LVhuTTR%2BQVxEhFk6aXhIaL%2FUmBbk8WZYy1ao2Vgc5HcCwi%2Fa%2B0U4JcPMfvGN8G3Ihfk3HmYYvnW6CjAA%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Dell Inspiron M5040 15.6"" AMD E-450 8GB RAM 952GB SSD Windows 10 home w/charger.",,,$22.50,US,,Used,https://www.ebay.com/itm/125979079228?hash=item1d54f0323c%3Ag%3Aw4wAAOSwCHBkjNOb&amdata=enc%3AAQAIAAAA4BOVT%2BWQqj1UIGfO4YqbGsd6EtxuASnXQTc2N3GCZGWD79201KITjDxjvJt883wa5se21hel9caLW088Cq9JbUPufz7RODAuRHor4XyQn2xrJDkJ2BQyujOWRrnuNsD%2FYwJLQxahQ1Vs9sDwCvgS%2BfsOKoZVUJPbeISPe%2BjnjQPT1Cvc6htvTUWpckjd0I0ahTeN3PqIKj1Hs16HaZb12wJl%2F5m52bUDx4%2Fsel2P8Q%2BSeAj%2F%2Fha7ld1XoVKavP9Tvx%2BvuAImVbRFZLt3Jh2xjjdVbzqXw1XG1OVX0mEpGggK%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Dell Vostro 5502 i5-1135G7@2.4GHz, 16GB Ram, 512GB NVMe, W10P Installed",,,$327.00,US,,Used,https://www.ebay.com/itm/175775105462?epid=20044846816&hash=item28ed0341b6%3Ag%3AcaIAAOSwNOpkjNIL&amdata=enc%3AAQAIAAAAwM9vSV1WiP%2B2883kEzaOR4JObIiVhSp%2BgTL%2FGwz0nBU0hFATQ8m5X9Jajyj0kwXttAQWN1ygNdKtYeIuRg1b7yqIcDgaZEmaN01ynXAi4AZXIUCZFJ%2BrHPGkY9qEoU1Dss6e6TRiwLGlkx%2B6viRv3p7Nz1vqWa%2BX%2FvIXz%2F049IcdsU7TPUd2e62%2BUBwAV5QT8XQ1RhWqzn5ncXc8tZM3M901LSeumUkgduO6tn91VM6mBUzjsMcZcFG9B6ztt4jQrA%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"Microsoft Surface Pro5 i5-7300U@2.6GHz, 8GB Ram, 256GB Onboard, W10P Installed",,,$120.00,US,,Used,https://www.ebay.com/itm/175775090231?hash=item28ed030637%3Ag%3AcYIAAOSwpuVkjM7z&amdata=enc%3AAQAIAAAAwOBn2VYka2oOVAXZHWwT%2Fgj7eEyjrOrSWgj53Ue4h1IGdtI6V3QgpOy8ItCxRe%2Fa2hWP2CgxhDKf8dp40JulIezmZMbcBlRCSZERgrsA6ZNnGAj1BIohfkBf74viKHZyhqgv%2BTPQQVBvo3buNd%2BPKnVnFl7dpucs05ljri3p2H2UeoaYgQsTkb8PQJ1MO9qpJmwthcrO8rIOfLrnjmOuM8TmgaKRlEt%2BmjmlwfByM9upAHjNzpkTds8PDUCp97hiYQ%3D%3D%7Ctkp%3ABk9SR_zUvIGcYg&LH_Auction=1
"HP EliteBook 850 G4 15.6"" Core i5-7200U @ 2.5GHz | 8GB RAM | NO HDD *BIOS LOCKED",$150.00,US,$70.00,US,,Used,https://www.ebay.com/itm/404337676034?hash=item5e24674f02%3Ag%3AdxAAAOSw-wtkjM2h&amdata=enc%3AAQAIAAAA4OjAwPOJmPXBZapFSa0xsPTPlGp84jk3xm1MBDDu5B8Dnuy88dVMmb50Jj7AH7k4fp8rz1J328XH7cywMrnfcnmfo6l6Tyt069q1daz0ewLAmCln6Ici4VTER2LmkGZSYdOCjYonsQ%2B3JwJXqxKI5Y8yJZzRtLQNW4QR%2BPTy6ZmhN6YiIS4xabPcpv%2FQV5SJsTevPRKw6U97MIcWGUIXcsF8OOPg4sMQqQDqugr6laXYeyCcopUGhFwk38sQ%2FORHZ3ZPyidF7ALAvBA0IbUtS4hRDEx%2FdMJ7HLrRxM5H8vcS%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
Lenovo Thinkpad X1 Carbon 8th gen i5-10310u 16GB 512GB Win11 Pro,,,$270.00,US,,Used,https://www.ebay.com/itm/256112199974?hash=item3ba17a0926%3Ag%3Atw4AAOSwvv1kjMzN&amdata=enc%3AAQAIAAAAwPDzkv8toufA44ZJ906A67E%2FeB1%2F7KR%2FYu6blthLxjnPJp3RQCE%2F669EmKnhwKF2ASmjjMHN5r%2FyMq7rDb4HVPYymGiHFWZRdOwzsK95raSI7QxAXEz6%2BfQszTvVOHKrBwMj4X5dNMdw%2B94DOZWqqtSN1R9Lp78%2B9fYcT4b7nyhRbBSrlPh1w2f6r%2B1dsmTcDVIMeshzycSZYdVu3Z1cyx0VmcxyhX5Lvz7yCdtQoXQ8E60XyKX5cdQ72aAr8UWxpw%3D%3D%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Lenovo ThinkPad P51 15.6"" (1TB SATA Intel Core i7 7th Gen., 2.80 GHz, 16GB...",,,$142.00,US,,Used,https://www.ebay.com/itm/385688088977?hash=item59cccd3191%3Ag%3AAeoAAOSwaT9kjMxk&amdata=enc%3AAQAIAAAA4AfYnOpyAb6GiI1M7bCReMqEIdVZiig5gtPNoZRU0taTMCYMt8NfeiW%2BbmDBuG767xVvUKBKmHLbqAcHyZ%2FbFE6dVkN7HbCXKajCi5ziCQFkphGvfdsqgD61ziMhqXlOG%2BLeJyWx6P%2BYaADonuuZ1%2FPnvzAzG5UStg9iL6XVeQMX1qjDS9xg%2BybzNAmkuREVaVtFKPrhAb682crs2VKzfhfOqEKqwYgFUDyYflcgo2Aqzngsk3%2FUzFzMf0Cxd4s7xb40FNXL%2BIhe%2F3MidOKA7F1cW8ZfSlWbjCwLL6K%2FBShP%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
lenovo thinkbook 13s g4 grey AMD Ryzen 7 6800U Used,,,$395.00,US,,Used,https://www.ebay.com/itm/354854319266?hash=item529ef734a2%3Ag%3AWbgAAOSwsJxkjMt%7E&amdata=enc%3AAQAIAAAA4GXjml5fWaG1Dj7MNqwvwGjMSbYNr0jwQtcZAiKMU86lbQk%2B%2B0SHIq6YGy3dGCHBlQ%2FYFGkVJ3tBAU0M7kDGf6PZezdZk6wv8vRtUJZGECEMMwbkCJDIiuGqrX9iUIVYmxJDSzG06Hgg1diIWL0Zh9HtaU8eToZjOfGPAWOffskmqRAnlQcpRKYoI%2BtNHHfQCAi4dELmKT7iZH63dTquKt1xkt6Io7qg9XgEk5wFj9gelHAzXZdxeF63k430YRkicmrGKtdLlGlFPk1LqjiQY860uft%2FAnsx76e75HpU6zpf%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Microsoft Surface Pro5 i5-7300U@2.6GHz,8GB Ram,256GB Onboard,W10P w/ D.Station",,,$150.00,US,,Used,https://www.ebay.com/itm/175775063787?hash=item28ed029eeb%3Ag%3AW4sAAOSwLOJkjMqv&amdata=enc%3AAQAIAAAAwJ%2B44YV8FOVrQFRmC2Kcqvq5lhENw6c3ReoQz7L1dD99rOwQ7euX%2FtKt2YBaFNvzByN3i%2BPXs4bRrMh%2FfBaXyxdtr8YCbnXmF8%2FNsTCLDlg1pSff%2B7aPHtXZTaQSNBrjXaB59ElXx3H4ftJsn%2BRQGrwb4qfz8CUGybaEOcrB3bCZIJO0BofT1sUyYIibi5vMKPMKV6BE6VMWctjHpyl9oxeDZILZP4OVurLmSOJY5jzQUZncZuFLbsXXupiNXB83Ig%3D%3D%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Dell XPS 9700 17"" (1TB SSD, Intel Core i7-10875H, 5.10 GHz, 32 GB) Laptop -...","$1,200.00",US,$800.00,US,,Used,https://www.ebay.com/itm/325696936151?epid=7055232881&hash=item4bd50cd8d7%3Ag%3A5BkAAOSwA5dkjMn3&amdata=enc%3AAQAIAAAA4Icr7sQws8gfZQeH6hoRlkrkgYPhtlVVuLTWwoPn4yRPZDgMHlz0Byk54OkxHgHZ4yTTN1k6Mgz%2FyPtHzGbEBF5OWhX2jfHIDZUDDE8i4ETWtDmrZITS9t1wCrDRwSjTUaXRNVbunIyIsX1lOH72rTNOKC859mmCPKG1RHe6Q3kqSNUdX5bc2nQT9ifbdsMQ4liQs89fOju9caysT6wobmkR0971Qflzco5%2FVE5dCbNmelVleY%2FP0WV7Xa7XMJT28x27Whfid%2F5OfEL9YgQN%2BxMnu0HlqSMimB81KAsjo08j%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Lenovo ThinkPad P51 15.6"" (1TB SATA Intel Core i7 7th Gen., 2.80 GHz, 16GB...",,,$142.00,US,,Used,https://www.ebay.com/itm/385688077656?hash=item59cccd0558%3Ag%3AmL0AAOSw7YdkjMjw&amdata=enc%3AAQAIAAAA4BUDfINu1GSJbMJszGgBKxea5rRpZLA8e3JdUR5JYpKd9gNYw%2FUfzjaWYEYByaiKEjAffXPS%2BKy6baSNIV3Qp5bD6PC8YhF4cgSUR%2B1OrYCoikjOJ2ZHsGrw9eqXFFjqhidtJN9z2%2BNLC7DN8viFlALf1g4ABQK9jIQxbZk4rT9dp%2FOvwbKjtYdjovPkEH%2B8D2nos4KuaTHKvX3Pjex2oGzqyKdCsLOUt7wYcpU9w27y7NpEvwiqQDXC1Tnof1dYoZsMYvG6r7pP%2BYCj0WjFlRt7MkPni2O%2FYpiMfkDTqcSe%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Acer Aspire 5 15.6"" (128GB SSD, Intel Core i3-1115G4, 3.00 GHz, 4GB) Laptop -...",$275.00,US,$180.00,US,,Used,https://www.ebay.com/itm/394684030718?epid=15055430720&hash=item5be5005efe%3Ag%3AerQAAOSwB0ZkjMVq&amdata=enc%3AAQAIAAAA4Ek4pQdIqRBy3J7OkacnVfPCWAKBrS%2F7z7EdRqy4OTmFWCPD0XxC0jAeXKFRbWOl%2BsFEkyP6M8yfsb4gaY2KJpjET8tR7YeBZ027X64fZHS7MKpMhWmMrCegb9x9tc2vYY40rDJJX7mg9mzZFkLo9p25eLBhdkS3%2FXf%2Fr1VHUsvoLLL6byrDXsm3eR1qYavrOoRYSXafmTMO1Bc7NTZyd2QHarL9ZZzzPEBOFEAf0KSDXoHw3u9%2B3n%2FWp%2BccfUZi2Fl2%2BJLt4pkN%2FRECGy0E874hwbWEYfH4cm4E9hEWq9QX%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Surface Pro X, 13”, Microsoft SQ1, 128GB SSD, Device Only - Platinum",,,$200.00,US,,Used,https://www.ebay.com/itm/266307644330?epid=3049802949&hash=item3e012c2baa%3Ag%3AHwkAAOSwI0Zjkl%7Er&amdata=enc%3AAQAIAAAAwEG1AMsrypddbDgjEpGWAYQj3GwiSrzl2WwUcVOSFcvAeGaO9BB01C7149fjzWUgGvXwToq7UqRkPm8rqOofNq%2FttrZZrjH3K8ekPUAYSC8BMsuUFX3MJHcl2VMQiq8cXpJm05k8zlrx2MxVaKbwHyZcp8scjSeA7nPK9mYt0hG9zfXN7tX1X5kNlXAdqEV6RAbOSjmFomGILj6ycH8YFeOBOZFeGgHumdU1OJ3t4eYMK3axQw11kxysXkv7sYLEog%3D%3D%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Microsoft Surface Pro X 13"" Touch (128GB SSD, Microsoft SQ1, 3.00 GHz, 8GB)",,,$250.00,US,,Used,https://www.ebay.com/itm/266307644751?epid=3049802949&hash=item3e012c2d4f%3Ag%3AvdYAAOSwp5xj8Mw8&amdata=enc%3AAQAIAAAAwAX%2Fyeb02LGn%2Fuo19Km8cw99PogdAd93baZrz2C%2BIa1Rlnrps40QxBwNRoqUNQOB5bVSxhB7oy9enY8xzN%2BGFFGlCUSajOyCWeijoK0%2B2bzwnuUBY7YRol%2BtMFfwysStwR9SWMQQot78qpapGluN60g%2BL20PO9TRINZnPd7rGQV01jEqFDG9AK3Pe88e93%2Fz1oNqzDWMtAB%2BALeWy2KC8Q31ZcAxqatvEP7QANNrAC8p6WMYAosqPwwoWPtutKadwg%3D%3D%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"Dell XPS 13 9310 i7-1185G7, 16 GB RAM, 1TB SSD, Intel Iris Xe, 13.4"" Touch",,,$504.99,US,,Used,https://www.ebay.com/itm/266301015824?epid=4045500865&hash=item3e00c70710%3Ag%3AK3EAAOSw6MhkHfFh&amdata=enc%3AAQAIAAAAwLRKT0xMt7u2BWvDoMPJKjTz5o8OMwLlRpG3TO0M6i41HGyReOja9fuh2F2Y2l5xaUy9n9yuFnoaFfxtEXFRoOwZTCEhQYKrviaw%2Fk9FqrBUw4MbZs4OnaA86Ayly3%2BmCQ%2Bb6PdGY7pQ0vhMyG3vSkDLwaFqfwCAV3HfJNGaVJrHx%2FePvKsK14IGW4BiQpH9FDG8DAnFfdWuC2Uf3ZU8By%2Flolimd5BjXi9jyoK8ajeZo%2BRLeIRDnEbeSUBuhooh7w%3D%3D%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"HP 15-dy2152wm 15.6"" FHD i5-1135G7 2.4GHz Intel Iris Xe Graphics 8GB RAM 512GB ",,,$155.60,US,,Used,https://www.ebay.com/itm/125979025932?epid=11046819447&hash=item1d54ef620c%3Ag%3APwQAAOSwHOZkjMEA&amdata=enc%3AAQAIAAAA4L3UHj6NPCA%2FGFy7Guffm6HyX4lxjVeCoEkwJuyzbY6W0YjoAAjScrmiTX%2BpvC86e8qvVd17OFY2ErlyNIXnBuYj4Qf1yVfQAj9e7IjML9aHVWlViSkBLIH8%2F%2FvQDmRcvNBKBfouzJj4cReXatSvYOSp3e2U9wlTZ9vQmtYyCgc08gU6RcGF1MK%2F4PJ7i9j8Ra4wB1DodfB18BKUqnAy%2BlolIszirwOXBGzPXS6kml4rMwKQ6QGphYcpE8jD7wrDE%2FiGktA5d1rtGmyT2KbdTjwUqVapwOZvlLKb88r6QWCa%7Ctkp%3ABk9SR_7UvIGcYg&LH_Auction=1
"ASUS ROG GL552V 15"" i7-6700HQ 2.6GHz 8GB 128GB SSD GTX 960M No AC AS-IS #010",,,$272.00,US,,Used,https://www.ebay.com/itm/145141464049?epid=2122736625&hash=item21cb1afbf1%3Ag%3ASL8AAOSw85tkjLn3&amdata=enc%3AAQAIAAAA4P1m64Uc80fxImksXo09%2Bx1OrlAjP7kh1Yzwa6irNOqnSC6kxyVa6VM98HFfiRJpOOxU0srNbxamf6umhdK%2BgPWqqpSOskNrFfRvHwZn%2FkAhKzIQEYwvThriHKQfdj74xR422Ge89LsW5ZsH0NMOidp9TUc1%2FPTZB3ddq43HKVSg5wK5ZpLkQ9NdQ9FCfvaTbQNMpGmnWkLd3zBO%2FNYOY5984mhFct4ztwYFBbKRgaPfWYdvrWYay5HYpz3GHUOFN72gWJ2M4yT2f4E3K5WlvfnR%2FaUy2gC23D64CSMRIkmM%7Ctkp%3ABk9SR4DVvIGcYg&LH_Auction=1
"Dell Latitude E7240 14"" HD i5-4310U 2.0GHz 8GB RAM 256GB mSATA Windows 10 Laptop",,,$89.99,US,,Used,https://www.ebay.com/itm/334914646584?epid=28026064829&hash=item4dfa77f238%3Ag%3AABwAAOSw1LNki4LK&amdata=enc%3AAQAIAAAA4AMUNlcG%2FrPq%2BDoaSJrq229VKmdFP0z3fuivrmSsyNSKx4aLUg9H4IXZFXTgVfErEn3%2FqOC4C5BtM02KQHGht0D2F9n4eA9WSUWJ4TABFfP9k1c6cl0sJM0BvpsEdX2j%2F%2BtZQQOD81KHHI%2BqNqtvz3gbn0gG1pjHtV7HXHPAgI34g%2FAOVmTdzfJIm97CKJaioSPdOFFWb9UwNzZuAYPILfRiL52qewsfugXkzX6vwWxyif3I8H84f5GrUaY3VSzbTOgX6OSbTNk1broO0613DxDqlGEDwsdwRCR%2F7ePetfEk%7Ctkp%3ABk9SR4DVvIGcYg&LH_Auction=1
